layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,141,-0.02285559696485695,-0.08391071081324375,0.0011083191815803861,-0.40529937551595935,-0.739100245104104,-0.1725080819423703
1,0.03571428571428571,141,-0.02244407278452809,-0.05322729368222867,0.007868062709768031,-0.17146317897000443,-0.3413508619457496,-0.059395403474522664
2,0.07142857142857142,141,0.0020340939249571255,-0.03542818006030024,0.018062509998610143,-0.13383607929096863,-0.2620431341972176,-0.03246322862926825
3,0.10714285714285714,141,0.010637841593628239,-0.021131748979209775,0.036288752742479335,-0.06443891505247222,-0.1250398957092395,-0.010383695122281066
4,0.14285714285714285,141,0.03000419989793157,0.0006281824214224851,0.05722893220163583,-0.008168378597829226,-0.04869273031492838,0.030465527637375537
5,0.17857142857142858,141,0.01707858004599505,-0.032218813558669845,0.0421106623901103,-0.028985569760257353,-0.07539914771670474,0.014823543771720666
6,0.21428571428571427,141,0.012571188907998576,-0.012574889027204605,0.036872511994307966,-0.011917674770316296,-0.05141763618940282,0.02586974985277187
7,0.25,141,0.010354583705440734,-0.01922840610170784,0.0269177956834199,-0.013915247600116105,-0.05361445520394471,0.02454729252710047
8,0.2857142857142857,141,0.018640230538958136,-0.001454828132018804,0.044359014848576406,-0.00031850014674181503,-0.04491956388933346,0.036084121266722544
9,0.32142857142857145,141,0.007421887059247845,-0.010320861511095458,0.02478583877039986,-0.013952905490528035,-0.05913250117705755,0.024915289235129732
10,0.35714285714285715,141,0.0014641462800344396,-0.014667556538539017,0.02676284142844576,-0.008582848712762799,-0.05175091116604382,0.02771592864421545
11,0.39285714285714285,141,0.008126328112076808,-0.007925840033416787,0.03517847543725172,-0.006065157826088395,-0.047150972962310855,0.02886096317769378
14,0.5,141,0.014729107065411862,0.0004349086691795012,0.031021706917050196,0.02522667519443002,0.0007163492873735843,0.04774616242462717
20,0.7142857142857143,141,0.00584422570060783,-0.0035507852882099566,0.02076530476699323,0.018834890275627944,-0.004471635419152685,0.04113908825452842
26,0.9285714285714286,141,0.0014447555270814538,0.0001125376200874495,0.004710748169402534,0.008184352253198947,-0.0013100353334992126,0.01751282401982201
