layer,n,mean,ci_lo,ci_hi
0,141,0.8665054405885738,0.8354878669344044,0.8949195022613435
1,141,0.8468269432460473,0.8170205356448889,0.8736277699885803
2,141,0.8310734621244742,0.800103441892655,0.859257531924746
3,141,0.8000871478709317,0.772678783019125,0.8265979517037012
4,141,0.7316078186918074,0.6996772431474729,0.7614218819768345
5,141,0.6911664510136386,0.6542415486991118,0.7263115222194865
6,141,0.6331344819431741,0.590506697705045,0.6726452919175354
7,141,0.5960863216152678,0.5518019855704436,0.6377665739886575
8,141,0.5390097458142679,0.49128127773252434,0.5835675754507484
9,141,0.46926705328727125,0.4152463350640602,0.5191673589544208
10,141,0.449480682764974,0.3945665052260557,0.498795572875378
11,141,0.38348070209425544,0.3290070161634121,0.43252230465848956
14,141,0.2572621109419077,0.20686999089239042,0.30194187057139776
20,141,0.18071739384165958,0.13498244199816337,0.22477879437009746
26,141,0.04584691924507783,0.028970226773242805,0.06321030104889834
