layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,141,0.48521985580645266,0.3652163429419538,0.5255978718244969,-0.18168333548448226,-1.0039644793191855,0.32253059931322087
1,0.03571428571428571,141,0.6094165344780118,0.5478795351665429,0.6797697392011092,0.006395518012323255,-0.7379608060650872,0.4710896670532407
2,0.07142857142857142,141,0.613602702700399,0.5713712377491764,0.695799520814753,0.03513756032533881,-0.7006764219250698,0.48611188577001163
3,0.10714285714285714,141,0.6686628943990272,0.6056923302662751,0.7278670105281992,0.051842955646537785,-0.6788879270087774,0.5092668787525324
4,0.14285714285714285,141,0.6925896042888136,0.6445349411110113,0.7420715116192542,0.11560033486965704,-0.5963150154275904,0.5409545390422792
5,0.17857142857142858,141,0.6957412978869157,0.6129136274900204,0.7306188311846153,0.12953037343636345,-0.5799321033957016,0.544280521212575
6,0.21428571428571427,141,0.6931967817607011,0.6334564495558013,0.7402375921848054,0.14600102322001923,-0.5630728501801002,0.5592950127482081
7,0.25,141,0.7047007064127174,0.6494717716761311,0.7552727786080904,0.14955786117258427,-0.5729042570419527,0.5692283516510503
8,0.2857142857142857,141,0.707057965190115,0.644389174401928,0.7577886798189312,0.13572758986255767,-0.5842028353578704,0.5644331279338223
9,0.32142857142857145,141,0.7062459590136749,0.6508426209149888,0.7640223807072102,0.12757055489564403,-0.5919412208417859,0.5696485842305156
10,0.35714285714285715,141,0.7165231092107287,0.6627875548154425,0.763373324823944,0.10848849397442435,-0.6317563319743147,0.5653056566766161
11,0.39285714285714285,141,0.7122086411742086,0.6397257927897824,0.7564373126131315,0.09929949321069771,-0.6399992172433107,0.5606872020754899
