layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,141,1.0,1.0,1.0,0.9858156028368794,0.9645390070921985,1.0
1,0.03571428571428571,141,1.0,1.0,1.0,0.9716312056737588,0.9432624113475178,0.9929078014184397
2,0.07142857142857142,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
3,0.10714285714285714,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
4,0.14285714285714285,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
5,0.17857142857142858,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
6,0.21428571428571427,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
7,0.25,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
8,0.2857142857142857,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
9,0.32142857142857145,141,1.0,1.0,1.0,0.9716312056737588,0.9432624113475178,0.9929078014184397
10,0.35714285714285715,141,1.0,1.0,1.0,0.9716312056737588,0.9432624113475178,0.9929078014184397
11,0.39285714285714285,141,1.0,1.0,1.0,0.9716312056737588,0.9432624113475178,0.9929078014184397
14,0.5,141,1.0,1.0,1.0,0.9716312056737588,0.9432624113475178,0.9929078014184397
20,0.7142857142857143,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
26,0.9285714285714286,141,1.0,1.0,1.0,0.9787234042553191,0.950354609929078,1.0
