layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
1,0.03571428571428571,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
2,0.07142857142857142,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
3,0.10714285714285714,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
4,0.14285714285714285,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
5,0.17857142857142858,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
6,0.21428571428571427,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
7,0.25,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
8,0.2857142857142857,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
9,0.32142857142857145,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
10,0.35714285714285715,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
11,0.39285714285714285,141,0.0,-1.9616438473590847e-07,2.5968682160204537e-07,-5.4952718414493136e-05,-0.00015692209784894825,1.700064009694774e-07
