layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,141,0.48521985580645266,0.3652163429419538,0.5255978718244969,-0.18329733813677407,-1.0055784819714773,0.31948627032632826
1,0.03571428571428571,141,0.5830142717582822,0.47961645044902323,0.656050233134861,0.04219266307512744,-0.6780138085764401,0.4739401220075093
2,0.07142857142857142,141,0.5911875724461793,0.5280239694899209,0.6450555223323768,0.07717666763956803,-0.6319347741529346,0.49311626210978005
3,0.10714285714285714,141,0.5998174275001333,0.5309624787761252,0.6725795465334091,0.11913876938783091,-0.5983627428730266,0.5251333508909392
4,0.14285714285714285,141,0.5548332263624378,0.49506402427147267,0.604340319448234,0.0929971622435326,-0.6112976252575025,0.48015115778484546
5,0.17857142857142858,141,0.505135781782666,0.42868519408306993,0.5329955030159794,0.07840097473846927,-0.6109830637474055,0.45896741375016287
6,0.21428571428571427,141,0.49859653074379295,0.44971966252365203,0.5695552482604143,0.07064747645233259,-0.6395327786739687,0.45490560971795074
7,0.25,141,0.48967094453998294,0.4122705392058973,0.5341556755779391,0.04881665673399545,-0.6732438063435331,0.4417257374281819
8,0.2857142857142857,141,0.4419184719892951,0.34604881915434627,0.49659801380330837,0.025737698029970016,-0.6806457393247055,0.41084282126910715
9,0.32142857142857145,141,0.3284888019574528,0.26333976758324473,0.38581818820107117,-0.033954432758694815,-0.7533832190195996,0.3542634699563727
10,0.35714285714285715,141,0.31233480780995904,0.27023923478059453,0.379390281150668,-0.05336001528083362,-0.7644578070642349,0.33804004661540266
11,0.39285714285714285,141,0.29029843051300763,0.22217895539121024,0.3301916732750477,-0.09486449101879976,-0.7988388351361629,0.2908121300241175
14,0.5,141,0.21980248820129544,0.1772424792233579,0.2544245477801296,-0.1349567917802394,-0.7875337115188985,0.22476395341264424
20,0.7142857142857143,141,0.13099291184029238,0.10007166965304015,0.17961297635704843,-0.16114485233868384,-0.7329141772007974,0.1658066445741968
26,0.9285714285714286,141,0.01833011656857597,0.006135008748634818,0.028929655574437607,0.016783760594386705,-0.009274295257184997,0.04029716014963291
