layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,136,-0.02903260826684617,-0.05382207269559347,-0.017955257368564403,-0.8833973999203639,-1.8242528370484465,-0.17216925959778095
1,0.03571428571428571,136,-0.006067421328379896,-0.030421640083801216,0.006223752647118108,-0.36810512396439343,-0.8833824009513518,-0.08443013510562011
2,0.07142857142857142,136,-0.009829573191912133,-0.039039737125465046,0.010354231969547212,-0.33028823106216076,-0.8087778630313195,-0.06355155487164717
3,0.10714285714285714,136,-0.0016657386151740505,-0.012200652562431413,0.0156633951838705,-0.30341405942932365,-0.8053208852215941,-0.03395635960406016
4,0.14285714285714285,136,0.010050851481680778,-0.0061061491566376525,0.022867265167524964,-0.2782861564186189,-0.7661003749654585,-0.021542910374587637
5,0.17857142857142858,136,0.012409819550582568,-0.011833619451717015,0.03270231880249436,-0.2621829363330518,-0.7333772405583576,-0.013430455643986159
6,0.21428571428571427,136,0.02002880714470645,-0.002978788172340874,0.04156621691091711,-0.23582553733030812,-0.7140480227948466,0.007536972065406133
7,0.25,136,0.035467684728095084,0.00444640540407093,0.05722623178213099,-0.2200555937793421,-0.6829510643063529,0.025165691829625737
8,0.2857142857142857,136,0.037869580157759875,0.013863681643471182,0.052749273574080324,-0.19060049896062206,-0.6418173698472931,0.040970151766422505
9,0.32142857142857145,136,0.04219189801309042,0.021645673492052875,0.06531521458746692,-0.19450208301622868,-0.6785819495757733,0.04754271462960728
10,0.35714285714285715,136,0.025661731328491755,0.00674607064174515,0.07264773115325851,-0.204420322803367,-0.705481237559139,0.042528019402374516
11,0.39285714285714285,136,0.0444646639546209,0.02327213426841601,0.06285055186596128,-0.19460199050362564,-0.6659385966261206,0.04520068124002
14,0.5,136,0.02455677031700798,0.005830361331483347,0.04043546238195106,-0.2143213715972673,-0.7225397218767161,0.04243343321898778
20,0.7142857142857143,136,0.002183935895380129,-0.003426925139211612,0.007157081934709542,-0.039402014178334326,-0.13727040679336974,0.010703884200041858
26,0.9285714285714286,136,-0.00010189675985772251,-0.0015427827537937144,0.0008820292736130275,-0.002399417283929932,-0.020840542535158806,0.01145560019343329
