layer,n,mean,ci_lo,ci_hi
0,126,0.80721816170231,0.7494356399159854,0.8597169484365125
1,126,0.7857552512532259,0.6831894986697501,0.8600552125152374
2,126,0.7849750433972296,0.7064175805776142,0.8470963962548465
3,126,0.7371879103721233,0.6701273009882184,0.7954540070457501
4,126,0.6933457438270643,0.6276768940917928,0.75403075898572
5,126,0.6842239324358113,0.6274407452316093,0.7421415043779919
6,126,0.6404226507103273,0.5836349139665246,0.6987244050486607
7,126,0.6036918839801731,0.5482286315819203,0.6609552283658958
8,126,0.5689897833483054,0.5133068941177471,0.6277677174472586
9,126,0.5176920483265897,0.46301698585270185,0.574783288428686
10,126,0.5008619530875722,0.44566252675693646,0.5578704414679914
11,126,0.4511417803228655,0.3966453097034298,0.5092448396804363
14,126,0.35274826133869025,0.2988311093102535,0.4076739866231186
20,126,0.24122766935103465,0.18764850986622278,0.29654074736891095
26,126,0.044361395498095806,0.024650974336133006,0.06469372735297312
