layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,136,0.49482320824047604,0.3711220045340901,0.5399951106854638,0.2133284743011471,0.07053767248692819,0.3404748354400011
1,0.03571428571428571,136,0.6049323770149131,0.53041630894446,0.697118942288495,0.41744823308844903,0.3068785325118771,0.5214127847240887
2,0.07142857142857142,136,0.6459891728231326,0.5566137669684432,0.7099345492717533,0.43259533988881693,0.31892132553612745,0.5355831633620642
3,0.10714285714285714,136,0.6811274807859545,0.5796911665725865,0.7517330837837701,0.472515779834734,0.35640078189370955,0.5730592640494634
4,0.14285714285714285,136,0.7157525435490939,0.6233842316544022,0.7640368263196171,0.4957876793062236,0.3805914637171948,0.5948850942894959
5,0.17857142857142858,136,0.7134614830990514,0.6198289522694412,0.7764926189901935,0.48965413613681436,0.37885902471454824,0.5903028871702999
6,0.21428571428571427,136,0.7281087208498894,0.6351407035006305,0.7737681824192194,0.4984738059593141,0.38771743693971794,0.5975822968178675
7,0.25,136,0.7306660668614611,0.654731071634677,0.7661191641496514,0.4968499019003236,0.38488434169259594,0.5974970052700217
8,0.2857142857142857,136,0.7233206320158634,0.6343319705111277,0.7706495935804244,0.48299717960582256,0.35467076922450247,0.5939058863174719
9,0.32142857142857145,136,0.7253357609196679,0.6391772499062063,0.7807533736459907,0.48377504762901313,0.35914882816219473,0.597429441296712
10,0.35714285714285715,136,0.7288836122437289,0.6504124957418169,0.7885831750373944,0.4870988039854726,0.3642007279908789,0.5999388243893456
11,0.39285714285714285,136,0.7380955081075903,0.6596090910588717,0.7906234831948247,0.48636795072026556,0.36515560453081286,0.5952558726659962
