layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,136,1.0,1.0,1.0,0.9191176470588235,0.8676470588235294,0.9632352941176471
1,0.03571428571428571,136,1.0,1.0,1.0,0.9338235294117647,0.8897058823529411,0.9705882352941176
2,0.07142857142857142,136,1.0,1.0,1.0,0.9338235294117647,0.8897058823529411,0.9705882352941176
3,0.10714285714285714,136,1.0,1.0,1.0,0.9338235294117647,0.8897058823529411,0.9705882352941176
4,0.14285714285714285,136,1.0,1.0,1.0,0.9191176470588235,0.8676470588235294,0.9632352941176471
5,0.17857142857142858,136,1.0,1.0,1.0,0.9044117647058824,0.8529411764705882,0.9485294117647058
6,0.21428571428571427,136,1.0,1.0,1.0,0.8897058823529411,0.8308823529411765,0.9411764705882353
7,0.25,136,1.0,1.0,1.0,0.8970588235294118,0.8455882352941176,0.9485294117647058
8,0.2857142857142857,136,1.0,1.0,1.0,0.8897058823529411,0.8382352941176471,0.9411764705882353
9,0.32142857142857145,136,1.0,1.0,1.0,0.8529411764705882,0.7941176470588235,0.9044117647058824
10,0.35714285714285715,136,1.0,1.0,1.0,0.8382352941176471,0.7720588235294118,0.8970588235294118
11,0.39285714285714285,136,1.0,1.0,1.0,0.8382352941176471,0.7720588235294118,0.8970588235294118
14,0.5,136,1.0,1.0,1.0,0.8308823529411765,0.7647058823529411,0.8897058823529411
20,0.7142857142857143,136,1.0,1.0,1.0,0.8382352941176471,0.7720588235294118,0.8970588235294118
26,0.9285714285714286,136,1.0,1.0,1.0,0.8161764705882353,0.75,0.8823529411764706
