layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
1,0.03571428571428571,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
2,0.07142857142857142,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
3,0.10714285714285714,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
4,0.14285714285714285,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
5,0.17857142857142858,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
6,0.21428571428571427,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
7,0.25,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
8,0.2857142857142857,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
9,0.32142857142857145,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
10,0.35714285714285715,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
11,0.39285714285714285,136,-1.6606943087360548e-07,-4.0349113983317864e-07,0.0,1.7061825097673597e-05,-1.906543943276825e-05,7.62393416596336e-05
