layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,136,0.49482320824047604,0.3711220045340901,0.5399951106854638,0.2134398136725989,0.07053767248692819,0.34069164238542393
1,0.03571428571428571,136,0.5515450794377588,0.49863938403272057,0.6583365485945949,0.4026396300836672,0.2908336863877708,0.5016221345552465
2,0.07142857142857142,136,0.5606149251788025,0.46720463903029463,0.6320097330796013,0.4045105771269908,0.3009829647356795,0.5018832824053653
3,0.10714285714285714,136,0.5695536576031599,0.4873231957050469,0.6549797675931105,0.4452487209973733,0.346558541208211,0.533585703987872
4,0.14285714285714285,136,0.6130265143649666,0.5373100182279806,0.6714944641915216,0.4645809582425878,0.3784074864483164,0.5418079822466069
5,0.17857142857142858,136,0.570836030772263,0.5149274802990367,0.6361425972337171,0.456769108244068,0.37572010872956996,0.5319839370266125
6,0.21428571428571427,136,0.5144502227892076,0.47702489439241846,0.6011503597681681,0.4213865544416401,0.34262218733869276,0.4988904996579335
7,0.25,136,0.4918321770126508,0.4349949281995749,0.5773838482222389,0.4141195389483076,0.3399572468826623,0.48650454183140124
8,0.2857142857142857,136,0.47776563572650665,0.3888630693812558,0.5643381543790598,0.40265553836733287,0.33178404663724176,0.4727600162190658
9,0.32142857142857145,136,0.36773666440327646,0.30111979007281364,0.47094924321010584,0.3478152802149817,0.28017660812915723,0.41784176020718045
10,0.35714285714285715,136,0.36985162612618805,0.30154403819183934,0.4608906050415922,0.33343190634940273,0.26495618788212955,0.40369772917028995
11,0.39285714285714285,136,0.2988198662762354,0.2445120735201805,0.3934473238100261,0.29894081845129467,0.22991159117323184,0.3692496122790179
14,0.5,136,0.2568401704320461,0.18813747942395398,0.30503095662444113,0.25711919233302016,0.19767817046083566,0.31771794349803156
20,0.7142857142857143,136,0.12026818415355339,0.08796915605461242,0.16073900035051192,0.1466530773205685,0.10091949127734597,0.1928947715305139
26,0.9285714285714286,136,0.00876902570030963,-0.002394014304539338,0.01589154377142471,0.028824451079960713,0.0136559047431535,0.04598733021500926
