layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,149,-0.05363155258933405,-0.13388522680252746,-0.00887211232724261,-0.6972931731137982,-1.011515524926703,-0.4347783678536777
1,0.03125,149,-0.026476283261791744,-0.10986616644516656,0.007374050797700149,-0.4363763255462246,-0.6476862826632815,-0.2608782518818926
2,0.0625,149,-0.037965859972922456,-0.09754114147389914,0.020172860585959573,-0.3471743251080116,-0.5667392091921261,-0.17628447090825902
3,0.09375,149,-0.02025385980005412,-0.09506340157861626,0.03570487716688897,-0.23785934229645578,-0.4403779987595596,-0.09459621426633169
4,0.125,149,0.0021042819222663045,-0.04340477273656185,0.061963988976022844,-0.20721427177295493,-0.39912772430522164,-0.06619453109382151
5,0.15625,149,0.05534087972510804,0.005100635690148625,0.12193489658231893,-0.15142431738286655,-0.342083372125563,-0.015012315112006519
6,0.1875,149,0.008677127722461986,-0.040743406831485585,0.0742928725867198,-0.1487847938269759,-0.3092290330227671,-0.02200879374871945
7,0.21875,149,-0.001844775748059746,-0.053306891604141704,0.05466100494754722,-0.21007939754543434,-0.3998459658903541,-0.0735957695092471
8,0.25,149,-0.003437547494022697,-0.05011168378314346,0.04639937125647331,-0.16473604423506094,-0.3117516024050214,-0.04787842400590714
9,0.28125,149,-0.000687667004844128,-0.04190320360287436,0.03320457013704492,-0.18101453269714407,-0.33317352364124453,-0.05468372513503162
10,0.3125,149,0.009649780362713689,-0.05232352488430414,0.07977278828198386,-0.15513494668002073,-0.289700137958917,-0.04163563754432294
11,0.34375,149,0.00041072781599471586,-0.05353985187196475,0.048833482422532715,-0.1146109336512965,-0.22287087877701275,-0.022755245692214623
14,0.4375,149,0.00903942715383832,-0.024058447945060513,0.03907705131233319,-0.09281308967769862,-0.1719353261916245,-0.021972847694511514
20,0.625,149,0.0010624925487682235,-0.0031426871923474486,0.009621457375369014,-0.03427804406785331,-0.07676008933912526,0.0021538259135666527
26,0.8125,149,0.002150240262870695,-0.0008705875946646291,0.011421886048016194,-0.014057873126693344,-0.04195224574466967,0.013175595374092332
