layer,n,mean,ci_lo,ci_hi
0,149,0.7121486475915905,0.6639604556676791,0.761850422065585
1,149,0.7403590555372691,0.6838591085968678,0.7927911818089326
2,149,0.7276124291729942,0.6693647258149334,0.7835172818546738
3,149,0.6899443694752282,0.6170542105105925,0.7579412438563891
4,149,0.6710202697175969,0.5946684315629931,0.7364096347895472
5,149,0.6160950092517958,0.5342469928505067,0.6876548004493058
6,149,0.5685007161813747,0.4730638903582462,0.64922009979748
7,149,0.5279595396521497,0.4339270303611888,0.6136233612141241
8,149,0.506873545260244,0.4034159057323779,0.5889270723189004
9,149,0.44997494375507785,0.3431589367563404,0.5389963508157968
10,149,0.42812089253058666,0.3476903172767646,0.5006715875058283
11,149,0.40085913602634377,0.33946874857887666,0.460823539256404
14,149,0.2882081276294303,0.23558923589908784,0.34503624250372805
20,149,0.11015460500906916,0.07408437039101018,0.15304008757055665
26,149,0.059943306112840954,0.03253446084891632,0.09204187687697074
