layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,149,0.29548528152951825,0.09528608809836692,0.4911240034166082,-0.4770363766793637,-0.8983624461991251,-0.133378721392239
1,0.03125,149,0.5220092430442025,0.39242037870756763,0.621379925978228,-0.20918358450801952,-0.611762323601972,0.1466127706637446
2,0.0625,149,0.5132484901433223,0.38222219646129585,0.6600923168894705,-0.17460525458087522,-0.5420214891757057,0.14656233101239774
3,0.09375,149,0.5245594920720131,0.32950879908218766,0.630044344249052,-0.15360534323833966,-0.5105585326274562,0.14643124163005655
4,0.125,149,0.5221179726784259,0.40641597788573947,0.6339153621039542,-0.1663100998996406,-0.5160209158761507,0.15102530799837888
5,0.15625,149,0.5169568771065228,0.40854931445905174,0.6099250312013814,-0.20553351559408628,-0.5779192621244519,0.12412511895939049
6,0.1875,149,0.536433819291762,0.44654260815028357,0.6643155553387832,-0.14693561679382997,-0.5043991048725793,0.16816934719588034
7,0.21875,149,0.5511393051434994,0.457160945614389,0.6498638767227287,-0.17161468619947595,-0.5400994363136559,0.14848708717588757
8,0.25,149,0.5702326553016888,0.4545573767586206,0.6492827490947017,-0.1452131495321088,-0.48515887663186064,0.1601849175878576
9,0.28125,149,0.5547092397658813,0.4928710394759962,0.6432442004577275,-0.16714598825336807,-0.5128772190370028,0.1485789724399348
10,0.3125,149,0.5430172739942782,0.45868313435407504,0.6224837605393954,-0.1480719413744443,-0.4946164616519639,0.17369648160791043
11,0.34375,149,0.5394699545909736,0.48696924349858584,0.6598943624080453,-0.13237551474714576,-0.49220570263091445,0.19863165580814027
