layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,149,1.0,1.0,1.0,0.959731543624161,0.9261744966442953,0.9865771812080537
1,0.03125,149,1.0,1.0,1.0,0.9664429530201343,0.9328859060402684,0.9932885906040269
2,0.0625,149,1.0,1.0,1.0,0.9731543624161074,0.9463087248322147,1.0
3,0.09375,149,1.0,1.0,1.0,0.9798657718120806,0.9530201342281879,1.0
4,0.125,149,1.0,1.0,1.0,0.9798657718120806,0.9530201342281879,1.0
5,0.15625,149,1.0,1.0,1.0,0.9731543624161074,0.9395973154362416,1.0
6,0.1875,149,1.0,1.0,1.0,0.9731543624161074,0.9463087248322147,1.0
7,0.21875,149,1.0,1.0,1.0,0.9798657718120806,0.9530201342281879,1.0
8,0.25,149,1.0,1.0,1.0,0.9731543624161074,0.9395973154362416,1.0
9,0.28125,149,1.0,1.0,1.0,0.9731543624161074,0.9463087248322147,1.0
10,0.3125,149,1.0,1.0,1.0,0.9731543624161074,0.9395973154362416,0.9932885906040269
11,0.34375,149,1.0,1.0,1.0,0.9798657718120806,0.9530201342281879,1.0
14,0.4375,149,1.0,1.0,1.0,0.9731543624161074,0.9395973154362416,0.9932885906040269
20,0.625,149,1.0,1.0,1.0,0.9731543624161074,0.9395973154362416,0.9932885906040269
26,0.8125,149,1.0,1.0,1.0,0.9798657718120806,0.9530201342281879,1.0
