layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
1,0.03125,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
2,0.0625,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
3,0.09375,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
4,0.125,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
5,0.15625,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
6,0.1875,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
7,0.21875,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
8,0.25,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
9,0.28125,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
10,0.3125,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
11,0.34375,149,0.0,0.0,0.0,0.00027573562864630866,-0.00023754478024273846,0.0009606140768686779
