layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,149,0.29548528152951825,0.09528608809836692,0.4911240034166082,-0.4770198514917891,-0.8983624461991251,-0.133378721392239
1,0.03125,149,0.5539053390775108,0.4432650486587717,0.603052436120445,-0.06884245205735626,-0.44289790977674776,0.22942378488010673
2,0.0625,149,0.5452276011707438,0.44618821411288323,0.6404011142116671,0.04157501482459402,-0.24249612484499922,0.2818586827267441
3,0.09375,149,0.5089128993923583,0.3789786205515002,0.5908763125166836,0.026660812550845972,-0.2708361221165012,0.2737246970740594
4,0.125,149,0.45673057626851865,0.3787542734431558,0.5617023434457395,0.026119560335218273,-0.27228975144609696,0.2705329324731627
5,0.15625,149,0.4268251391366761,0.31379339438901643,0.5199309371155709,0.00945406028294282,-0.2904413252570574,0.25470215068973684
6,0.1875,149,0.3680735648642388,0.2715731061049854,0.508923724603179,-0.019309418356416547,-0.3106041244140182,0.21940128657416827
7,0.21875,149,0.3693867276314293,0.2582054737790568,0.49408138651730515,-0.08322761756551116,-0.5345206099768055,0.2229433130708782
8,0.25,149,0.30693375461792993,0.23608261408508147,0.5002955899466072,0.030659787486857604,-0.19652602457821872,0.2220064438652279
9,0.28125,149,0.31501520746768086,0.21522065286654712,0.4298416841428301,0.03812695916690752,-0.15788627682381529,0.21132821864055298
10,0.3125,149,0.3084408197160975,0.2121510752267073,0.4125770968938055,0.09646066893927314,-0.055775824753336145,0.23133161118541837
11,0.34375,149,0.22458636937017296,0.12656638230365558,0.3177716302425203,0.05360540766893873,-0.09615611236200564,0.18999242363026686
14,0.4375,149,0.16760040155393008,0.053376189765423465,0.24359021307886042,0.03399894625168589,-0.09634324198707737,0.14606575611387512
20,0.625,149,0.01604456059193693,-0.006389032998475042,0.048987737836031164,-0.02290392348499872,-0.10730286874012035,0.05384979412422081
26,0.8125,149,0.0219450074975307,0.006858388861058273,0.036682162542665764,-0.00019052817495902454,-0.0668073110439134,0.05774119866261522
