layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,143,-0.058856534300158136,-0.16551543562024973,-0.016025375531603325,-1.218479669248768,-2.279995116852258,-0.43838068185246437
1,0.03125,143,-0.01677049691214827,-0.09866688486041753,0.004605040294504148,-0.6952212797993528,-1.341411373985256,-0.23911652408616063
2,0.0625,143,-0.030455519825447697,-0.09898621116178719,0.01756935757561018,-0.6490597628932859,-1.2126835383365928,-0.21828075551269852
3,0.09375,143,-0.015951197438291986,-0.08768177026450408,0.014972618858269615,-0.8536897969361253,-1.9615587484775125,-0.17212074455232018
4,0.125,143,-0.004345154295971154,-0.031559191451086654,0.027360596674195214,-0.6699515055838903,-1.4906648459790117,-0.1434863075166168
5,0.15625,143,0.007862018224570888,-0.0383292082107749,0.06795038141400711,-0.40459125553329317,-0.8479727432051821,-0.09701777810456133
6,0.1875,143,0.020407744119078086,-0.019330518323515733,0.06421013605695924,-0.22398887392081016,-0.4073323863058964,-0.058422727048291094
7,0.21875,143,0.012270938323177494,-0.017656399688924518,0.08128142174273578,-0.1728541665940278,-0.31982459188624207,-0.03959712189198407
8,0.25,143,0.02657491758832975,-0.0036076725565148404,0.07416406541426657,-0.10527232755382976,-0.2083162726635871,-0.0047540924233922316
9,0.28125,143,0.0326373305616513,-0.02886474764662328,0.07867993459002975,-0.08820478923874354,-0.18618194801712848,0.00431466732542262
10,0.3125,143,0.024839443254263793,-0.01989357829259286,0.067421863367369,-0.07743684616719645,-0.18685745784304042,0.014601107051794545
11,0.34375,143,0.014748402040936637,-0.008758756489550157,0.05581865527330776,-0.06767493613103166,-0.16059943533048524,0.015667191662011817
14,0.4375,143,0.00849096562613616,-0.02063977572188902,0.02961114043500135,-0.05573808967859753,-0.12504134877949377,0.010379476732587484
20,0.625,143,-0.004518369365220876,-0.016038671511576785,0.005575574444368847,-0.02627503036017731,-0.054816717047400605,-0.00026279702964733423
26,0.8125,143,0.00022731255590302535,-0.003139712139338391,0.0026802313112552767,-0.0016347449443030568,-0.020969830424901498,0.016199994206877087
