layer,n,mean,ci_lo,ci_hi
0,134,0.6818128715512515,0.617982889551071,0.736537004516474
1,134,0.7596525969110959,0.703206448277894,0.8081009373859073
2,134,0.7529592704321729,0.6991905239089927,0.7986492027654348
3,134,0.7162946544450343,0.6672168250777931,0.7651604066312201
4,134,0.7004136046400369,0.6473484212787042,0.7538761237353935
5,134,0.6354951323379275,0.5557663907897454,0.7042099062048159
6,134,0.6243536174123884,0.5584876598783951,0.6836754941183877
7,134,0.6107032626627814,0.5467711233970584,0.6670649614580302
8,134,0.5768739799592578,0.5208008586361358,0.6301463456098807
9,134,0.5424454607110082,0.48435219876347924,0.6014005386387284
10,134,0.5063564929231732,0.4458113314586653,0.5657703220088269
11,134,0.4585106226776944,0.39981762919084396,0.5211090114476256
14,134,0.319684408453086,0.2649964771675079,0.37700563591478986
20,134,0.1423646648130092,0.10512219542677535,0.1864646596552146
26,134,0.08159483875688715,0.05496473513139439,0.11525539374066036
