layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,143,0.34049952307815146,0.23009494993009083,0.41993057040549375,-0.45760944823703315,-0.9203691013658638,-0.05188070159848885
1,0.03125,143,0.553990683618656,0.44282548791373877,0.6287080959321585,-0.19519135601425658,-0.623461945086009,0.16085994103131995
2,0.0625,143,0.5364091257480055,0.4378136116404995,0.6329339799769835,-0.21062534652000053,-0.6758495937471065,0.16708986557297614
3,0.09375,143,0.5323702007120586,0.44919651768542057,0.6441570251203028,-0.15321099459608184,-0.6079225189034564,0.2137159895034403
4,0.125,143,0.5124807156374579,0.4396454377373139,0.642797534567402,-0.12848069114792096,-0.5533830056756324,0.21408380803652816
5,0.15625,143,0.5030801392099424,0.4073674928912685,0.6310314094555296,-0.20145239359799466,-0.74829635313219,0.21226512845271875
6,0.1875,143,0.5549215837686076,0.4388992024809091,0.6425338286722709,-0.38437206025777204,-1.332735046596849,0.21969490666854044
7,0.21875,143,0.5127665620389816,0.3316920939204374,0.6610653108937141,-0.2740060273921218,-1.0144205517095604,0.2221125065651581
8,0.25,143,0.5639443564277289,0.3844957369232088,0.6539198108173249,-0.2026499749985744,-0.8557735660719338,0.23477396858057342
9,0.28125,143,0.5363291998491727,0.39345034363188425,0.6435902510546568,-0.2968945330153083,-1.0980644502466974,0.22334716472679012
10,0.3125,143,0.55998187305159,0.4085434528751193,0.6669845570016384,-0.23231621811819236,-0.9690726300911151,0.25298766599251027
11,0.34375,143,0.5948816728990642,0.3933432225260779,0.6721646300727948,-0.1589253583869653,-0.7812139065023258,0.26887891384319607
