layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,143,1.0,1.0,1.0,0.9230769230769231,0.8741258741258742,0.965034965034965
1,0.03125,143,1.0,1.0,1.0,0.9230769230769231,0.8741258741258742,0.965034965034965
2,0.0625,143,1.0,1.0,1.0,0.916083916083916,0.8671328671328671,0.958041958041958
3,0.09375,143,1.0,1.0,1.0,0.9300699300699301,0.8881118881118881,0.972027972027972
4,0.125,143,1.0,1.0,1.0,0.9090909090909091,0.8601398601398601,0.958041958041958
5,0.15625,143,1.0,1.0,1.0,0.916083916083916,0.8671328671328671,0.958041958041958
6,0.1875,143,1.0,1.0,1.0,0.9230769230769231,0.8741258741258742,0.965034965034965
7,0.21875,143,1.0,1.0,1.0,0.916083916083916,0.8671328671328671,0.958041958041958
8,0.25,143,1.0,1.0,1.0,0.9090909090909091,0.8601398601398601,0.951048951048951
9,0.28125,143,1.0,1.0,1.0,0.9230769230769231,0.8741258741258742,0.965034965034965
10,0.3125,143,1.0,1.0,1.0,0.9230769230769231,0.8741258741258742,0.965034965034965
11,0.34375,143,1.0,1.0,1.0,0.9230769230769231,0.8741258741258742,0.965034965034965
14,0.4375,143,1.0,1.0,1.0,0.9020979020979021,0.8461538461538461,0.951048951048951
20,0.625,143,1.0,1.0,1.0,0.8951048951048951,0.8391608391608392,0.9440559440559441
26,0.8125,143,1.0,1.0,1.0,0.8951048951048951,0.8391608391608392,0.9440559440559441
