layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
1,0.03125,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
2,0.0625,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
3,0.09375,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
4,0.125,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
5,0.15625,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
6,0.1875,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
7,0.21875,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
8,0.25,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
9,0.28125,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
10,0.3125,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
11,0.34375,143,0.0,0.0,0.0,-3.0421227025133715e-06,-8.598921247944585e-06,1.5071584175184672e-06
