layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,143,0.34049952307815146,0.23009494993009083,0.41993057040549375,-0.45760703838447114,-0.9203642816607399,-0.05187588189336496
1,0.03125,143,0.5074083772718365,0.3460652260190049,0.5785900382722996,-0.05110521034978858,-0.3571933891470375,0.19467787041451032
2,0.0625,143,0.4717097886453865,0.34071825420890345,0.5354851193992007,0.00812644596035168,-0.24668739548453533,0.22548442452980916
3,0.09375,143,0.38149148147221523,0.2276431230986743,0.5114678782873487,0.027108055294898587,-0.23945130687502778,0.25480753551838625
4,0.125,143,0.35117358942442656,0.17619005702033863,0.4702894156668108,0.029807920763670982,-0.2196724655880284,0.2443906945178677
5,0.15625,143,0.3224280618941806,0.23233410903788865,0.4534668218063317,0.05417906714351493,-0.18404209267828386,0.2520703717796089
6,0.1875,143,0.33065750245196723,0.20529405439286896,0.4104586608105265,0.08117959682330715,-0.163935241357533,0.27329857058566226
7,0.21875,143,0.3756849698516417,0.2471968557893326,0.42207187713922256,0.12803041885171015,-0.08248317077955121,0.29951495444715703
8,0.25,143,0.31478805055164194,0.22770156849208667,0.3885588171864338,0.12645831564962143,-0.0678639718642912,0.287634446708811
9,0.28125,143,0.279191459820047,0.20601368118242913,0.36256286495886303,0.09459652879596177,-0.12141444022578031,0.2625556728461705
10,0.3125,143,0.2696649758944115,0.18623752354966805,0.35745022692266315,0.08266419328304746,-0.12830594900360817,0.25404224244790163
11,0.34375,143,0.2362000760232641,0.1461075929136949,0.2921597085140787,0.08145254420410847,-0.13864070017494357,0.25759905473365186
14,0.4375,143,0.11746026002856813,0.05384196246738804,0.1716771201339653,-0.035199829270482284,-0.28274314823696606,0.1557966393321453
20,0.625,143,0.03871764218998475,-0.0029956848130094915,0.06665341713238493,-0.034766672025773826,-0.14984120291657727,0.06768344710856843
26,0.8125,143,0.01728028611920418,0.0002370426743092402,0.035385129456355635,0.005679125108901243,-0.051887918583519536,0.0592380228600042
