layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,124,-0.0041201757786299975,-0.04097235773211416,0.008307306780602985,-0.8472514100687604,-1.9772045687945954,-0.18815182533392744
1,0.029411764705882353,124,-0.0019963839595119603,-0.03663683020731545,0.012616150202917287,-0.8959545346343631,-2.126795998557816,-0.17675093861033742
2,0.058823529411764705,124,0.005013084625416775,-0.01989391388779216,0.02284519812974828,-1.1940522235478856,-3.1564325151148775,-0.08743420629815465
3,0.08823529411764706,124,0.0007097692902243158,-0.020031327635693708,0.025856005551689765,-0.8946334912173157,-2.4931571456547053,-0.0034815779160257214
4,0.11764705882352941,124,0.006405635385835384,-0.014109760287617235,0.04481155535473924,-0.623298323663536,-1.6716697001698657,0.015558537916505263
5,0.14705882352941177,124,0.010104322298901569,-0.02092191772193308,0.03154002149226437,-0.6662847640680558,-1.7970649532156753,0.0040706383164377455
6,0.17647058823529413,124,0.008594425651163029,-0.02624080949595886,0.04172781721519625,-0.7035116607497198,-1.9451192532237958,0.014621833643766353
7,0.20588235294117646,124,0.014512777173985358,-0.003650576583849152,0.06553398692867657,-0.2192682685879729,-0.5317940619095396,0.0032802049978068737
8,0.23529411764705882,124,0.023590848668150977,-0.007684384705799241,0.06422019663054251,-0.24633134561746975,-0.544382488619252,-0.021199796111762783
9,0.2647058823529412,124,0.007496597754758028,-0.005411508670114529,0.04542197245694546,-0.3065635990337807,-0.7507461387495628,-0.00947726378350895
10,0.29411764705882354,124,0.004424573238900831,-0.04320590574835048,0.03502548153121293,-0.39502110283176906,-1.0323059334224436,-0.012873711687525182
11,0.3235294117647059,124,0.0144362326681588,0.000710713273498309,0.052665944458874514,-0.31644477769685464,-0.888355472472438,0.020329666061968104
14,0.4117647058823529,124,0.008568438443334991,-0.014097000657173342,0.032773278539500184,-0.12346412621840663,-0.31104201329441944,0.020893745492047592
20,0.5882352941176471,124,-0.002680192383274438,-0.020325487655374452,0.0047872444448303075,-0.3360963723377444,-0.9404114861374739,-0.01267480218293926
26,0.7647058823529411,124,-0.003125869274904769,-0.014403600414375495,-0.0001925134846267884,-0.10251812738728884,-0.21703737509596124,-0.024847074631611874
