layer,n,mean,ci_lo,ci_hi
0,124,0.8910008545680981,0.8345012769520784,0.9350492551105288
1,124,0.8762067997394931,0.8226495144432442,0.9218575715523845
2,124,0.8740237319563379,0.8346103970393235,0.9080500761098623
3,124,0.8199955939753671,0.748537533780695,0.8765078647803106
4,124,0.7461245538103329,0.6507863567222215,0.8228317968980501
5,124,0.6866333808676786,0.5416437563969317,0.788009396948479
6,124,0.6387830485891463,0.49641934224498696,0.7502120272383584
7,124,0.5488219880727939,0.4000101999523724,0.6605392329221863
8,124,0.49002505346159203,0.37988620559700786,0.579968988651458
9,124,0.47549946413111865,0.35583905644144737,0.5710517928001049
10,124,0.41975984684080464,0.30937784287372216,0.5211345076715179
11,124,0.3624299420053887,0.25024839167598784,0.4662250396027274
14,124,0.1842280596286289,0.004224992095721741,0.33214278872250386
20,124,0.06970451440842812,-0.026016193800660378,0.16332546878234291
26,124,0.09536036777865972,0.03096575994259925,0.16295168820252603
