layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,124,0.3813895655656987,0.23605016825373248,0.553441386064741,-0.19599468996443914,-0.5537872360746874,0.10180772499085715
1,0.029411764705882353,124,0.39839930294462783,0.0731720995584133,0.5876975583606692,-0.22690027410851393,-0.5553629802653742,0.06093114037638676
2,0.058823529411764705,124,0.5469716155620585,0.30450436284537113,0.6861797612353162,0.0470457156946028,-0.2712127570067604,0.29315953326352756
3,0.08823529411764706,124,0.5591978069640753,0.41443618218234535,0.674192059638857,0.008422445947413613,-0.35957579580737903,0.30227962223888105
4,0.11764705882352941,124,0.6851288008671894,0.5042098597483587,0.7891752096602718,0.013064666199167413,-0.3894081884197964,0.32854910736999526
5,0.14705882352941177,124,0.6496818709655505,0.5133680172737055,0.8136140940662056,0.04101219196208135,-0.27511626540236855,0.314215203552605
6,0.17647058823529413,124,0.584662007573543,0.5085243334912313,0.7730174774199196,0.06852800984515378,-0.2820061642400939,0.33631656724296577
7,0.20588235294117646,124,0.6911421598451558,0.5227037776142223,0.7698476981458307,-0.21767095588812546,-1.0401503106935852,0.3024491543435311
8,0.23529411764705882,124,0.6395907332718271,0.5100539523610569,0.7684460982395284,-0.2391224879081161,-1.0559915637025623,0.28806865693605155
9,0.2647058823529412,124,0.7223637709767681,0.6021836684981021,0.8049764177633498,-0.15788352006978712,-0.8794566772500633,0.308987033219431
10,0.29411764705882354,124,0.7096957921172237,0.5624433705848821,0.7885676749312167,-0.12350056714917684,-0.7800012488887547,0.32939881139968946
11,0.3235294117647059,124,0.7311173149856758,0.5934299822558193,0.7889337124773315,-0.13537927657710436,-0.799744404824834,0.31445745830820004
