layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,124,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,1.0
1,0.029411764705882353,124,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,1.0
2,0.058823529411764705,124,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,1.0
3,0.08823529411764706,124,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,1.0
4,0.11764705882352941,124,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,1.0
5,0.14705882352941177,124,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,1.0
6,0.17647058823529413,124,1.0,1.0,1.0,0.9919354838709677,0.9758064516129032,1.0
7,0.20588235294117646,124,1.0,1.0,1.0,1.0,1.0,1.0
8,0.23529411764705882,124,1.0,1.0,1.0,1.0,1.0,1.0
9,0.2647058823529412,124,1.0,1.0,1.0,1.0,1.0,1.0
10,0.29411764705882354,124,1.0,1.0,1.0,1.0,1.0,1.0
11,0.3235294117647059,124,1.0,1.0,1.0,1.0,1.0,1.0
14,0.4117647058823529,124,1.0,1.0,1.0,1.0,1.0,1.0
20,0.5882352941176471,124,1.0,1.0,1.0,1.0,1.0,1.0
26,0.7647058823529411,124,1.0,1.0,1.0,1.0,1.0,1.0
