layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
1,0.029411764705882353,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
2,0.058823529411764705,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
3,0.08823529411764706,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
4,0.11764705882352941,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
5,0.14705882352941177,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
6,0.17647058823529413,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
7,0.20588235294117646,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
8,0.23529411764705882,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
9,0.2647058823529412,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
10,0.29411764705882354,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
11,0.3235294117647059,124,0.0,0.0,0.0,-6.547108776278423e-07,-2.256593764775462e-06,5.867475710431522e-07
