layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,124,0.3813895655656987,0.23605016825373248,0.553441386064741,-0.19599468996443914,-0.5537872360746874,0.10180772499085715
1,0.029411764705882353,124,0.36264135751551024,0.16313452421508473,0.5578341280277268,-0.07380256482849103,-0.32113829906295416,0.1506022263679886
2,0.058823529411764705,124,0.5309323966661003,0.36274253894157416,0.6642142354385334,0.1711094001281088,-0.0499913038488313,0.35825712867680104
3,0.08823529411764706,124,0.5394276889377103,0.40747971168347485,0.6530628736447286,0.133686545636244,-0.10839969985610286,0.3581974347091028
4,0.11764705882352941,124,0.5487236786227553,0.3403538031053773,0.648787058768608,0.13967527707279453,-0.10202152485323598,0.33201493457892944
5,0.14705882352941177,124,0.612389610549924,0.432410579384152,0.6853804711478336,0.20723542843662837,-0.020634000754572872,0.38655446680809435
6,0.17647058823529413,124,0.44578748995951417,0.32562679193441657,0.6172644346307808,0.16598200827203083,-0.05948350052768789,0.34553664588392663
7,0.20588235294117646,124,0.47703725247401163,0.30445099395008823,0.607691180134097,0.14561758543072442,-0.03996274772017105,0.31201232547990365
8,0.23529411764705882,124,0.4789592125034455,0.30842684784397184,0.609617876266621,0.16087111198689558,-0.013159021367067763,0.31731317274027887
9,0.2647058823529412,124,0.47594117462383395,0.2947004455409313,0.6002755068875535,0.1593796307366553,-0.020300251533107105,0.32551640454991715
10,0.29411764705882354,124,0.3593058186618985,0.24049133734667005,0.4778237243968182,0.1569495020590222,-0.01795019620168126,0.29465584883675044
11,0.3235294117647059,124,0.3229726205987577,0.20213105586720725,0.4616782795458765,0.15230737431984653,-0.05716785796531581,0.30614283567735306
14,0.4117647058823529,124,0.2998297401075608,0.24193359385856228,0.39223178101013334,0.1349192322855558,-0.039668725839192495,0.29408449851178453
20,0.5882352941176471,124,0.025624820656279967,0.0009370375918078544,0.11205816843996375,0.07295858629579553,-0.02698131460896015,0.16145634205389706
26,0.7647058823529411,124,0.034826271931255814,0.0040394222731955365,0.09950481267630329,0.05990642500590299,-0.027534059914553276,0.1404170835291643
