layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,145,-0.027775459147221238,-0.07527714826511755,0.0015449005216140455,-1.286041910697703,-2.3949126591770353,-0.5287097792507479
1,0.029411764705882353,145,-0.03552905243982085,-0.07488209444103466,-0.000513204855711269,-1.104610829446305,-2.19323860082726,-0.4049508219634939
2,0.058823529411764705,145,-0.04112754522696016,-0.0740902381981241,-0.006530763760072444,-0.8145346924917276,-1.7637563973121586,-0.2718997683967358
3,0.08823529411764706,145,-0.04499056971199189,-0.09503963645063007,0.006900136653379962,-0.6606221731569903,-1.312284062367179,-0.23137603631208212
4,0.11764705882352941,145,-0.05793780073950261,-0.121455957482417,-0.011923184324396097,-0.526086258214153,-1.064510983336269,-0.18689500968170514
5,0.14705882352941177,145,-0.02489256468774803,-0.06210912044941019,0.012674887261806211,-0.5509630153615179,-1.0782457879658702,-0.1794149123685736
6,0.17647058823529413,145,-0.02550001369544308,-0.09641248371347211,0.009721693780068708,-0.532890332132895,-1.0195625728034134,-0.1840630895561172
7,0.20588235294117646,145,-0.026331307431652018,-0.0829825350559934,0.014061749853694128,-0.3735114890542074,-0.7346280051555654,-0.12363699218902312
8,0.23529411764705882,145,-0.012438624100368001,-0.09554488354537227,0.01837036939762504,-0.3239082794575061,-0.6759807230776917,-0.09481353594129133
9,0.2647058823529412,145,-0.00941697956154286,-0.056565173056818185,0.0480921746611781,-0.37302234808463314,-0.7510749388751162,-0.08029479916341993
10,0.29411764705882354,145,-0.015070480458115876,-0.046442532551378646,0.05718823540498719,-0.36347818251280245,-0.7503182365643839,-0.055101170100316926
11,0.3235294117647059,145,-0.01152105294100969,-0.05364242716390599,0.029405613114837137,-0.3684471275127724,-0.7487709291620716,-0.06391867679444993
14,0.4117647058823529,145,0.00667387613286452,-0.017238452794311687,0.04999833990902702,-0.17367296918679584,-0.3945668627723385,0.0002824096919122933
20,0.5882352941176471,145,-0.013419429169666763,-0.026878963547705803,0.0006972077367863871,-0.05241845438096914,-0.09828608828279166,-0.007566513083878665
26,0.7647058823529411,145,-0.002494373332675215,-0.008588320905866587,0.0032768806747308643,-0.06056823961658269,-0.11001896811348778,-0.013757035586737021
