layer,n,mean,ci_lo,ci_hi
0,137,0.8601356687984423,0.7756290800108134,0.9227328000588086
1,137,0.8500447856651435,0.7861350065515569,0.9027076662359601
2,137,0.7986808978391193,0.7229725454696372,0.8675812343759878
3,137,0.7724125897137718,0.7084047237855609,0.8349819358635204
4,137,0.7719913303293452,0.7150408458029204,0.8259000218049976
5,137,0.7310579891129948,0.6722340720498283,0.7928629688872154
6,137,0.48655247071966323,0.2053558112167945,0.6901526346172108
7,137,0.3524676415341237,-0.12485110697795816,0.645372638742433
8,137,0.2511483910390776,-0.2077860081672972,0.5547913196022428
9,137,0.37221138176473295,0.10668162790632148,0.5740110157174848
10,137,0.3798962755497016,0.23650234158395708,0.5159448073004342
11,137,0.36650012278440236,0.2215708599704315,0.5005748044020111
14,137,0.29386857987070125,0.18675088949197308,0.3960157181264211
20,137,0.24152542092256352,0.17377492425510235,0.31035857074698636
26,137,0.13849707007887366,0.07903489806652353,0.19135585998951454
