layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,145,0.3588939191376599,0.15815946713879925,0.46987777311234313,-9.815656544503074,-26.994752140088007,-0.5144673868005253
1,0.029411764705882353,145,0.31938024174269586,0.15486699499472656,0.454832728925182,-3.9213023521925447,-9.257647492493858,-0.5404105324631405
2,0.058823529411764705,145,0.429129967838934,0.25662336823021925,0.5764921751789397,-2.4609118509098327,-5.694944629494295,-0.17917557023866876
3,0.08823529411764706,145,0.4681497296407007,0.2140054906612796,0.6313898953588869,-7.445201564672533,-20.740094292975563,-0.0994559320952656
4,0.11764705882352941,145,0.5916750593957446,0.4827409202514584,0.716461972818816,-3.536135983096883,-9.201404934243083,0.003744699756029952
5,0.14705882352941177,145,0.5884234034015402,0.500385023877062,0.705236434902492,-2.1460722047895424,-5.2230163018271245,0.04782873713189257
6,0.17647058823529413,145,0.5666492658657087,0.41222024973456106,0.6499181403716726,-6.316918139386948,-17.436255732218434,0.012971338596147821
7,0.20588235294117646,145,0.630325839179885,0.4784220673774181,0.7313238934381125,-9.441328353478886,-27.07049077189402,0.08114136451553587
8,0.23529411764705882,145,0.6341201252577777,0.43423129648813463,0.718906677399476,-8.32804466525928,-23.73860850845714,0.10178643643547917
9,0.2647058823529412,145,0.6365686065947425,0.404840624181526,0.7487927148654907,-8.244322714438566,-23.534056453797707,0.08735525541898478
10,0.29411764705882354,145,0.6727026377028433,0.47217863107002234,0.7552911010470164,-11.907451065318774,-34.581696297138755,0.1517357086122864
11,0.3235294117647059,145,0.5807717318441212,0.4579630755204376,0.7501304274181904,-13.799419730682686,-40.3600960719545,0.14723134938227608
