layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,145,1.0,1.0,1.0,0.8758620689655172,0.8206896551724138,0.9241379310344827
1,0.029411764705882353,145,1.0,1.0,1.0,0.903448275862069,0.8551724137931035,0.9448275862068966
2,0.058823529411764705,145,1.0,1.0,1.0,0.9103448275862069,0.8620689655172413,0.9517241379310345
3,0.08823529411764706,145,1.0,1.0,1.0,0.903448275862069,0.8551724137931035,0.9448275862068966
4,0.11764705882352941,145,1.0,1.0,1.0,0.903448275862069,0.8551724137931035,0.9517241379310345
5,0.14705882352941177,145,1.0,1.0,1.0,0.8896551724137931,0.8344827586206897,0.9379310344827586
6,0.17647058823529413,145,1.0,1.0,1.0,0.8896551724137931,0.8344827586206897,0.9379310344827586
7,0.20588235294117646,145,1.0,1.0,1.0,0.9103448275862069,0.8620689655172413,0.9586206896551724
8,0.23529411764705882,145,1.0,1.0,1.0,0.8827586206896552,0.8275862068965517,0.9310344827586207
9,0.2647058823529412,145,1.0,1.0,1.0,0.8689655172413793,0.8137931034482758,0.9241379310344827
10,0.29411764705882354,145,1.0,1.0,1.0,0.8689655172413793,0.8137931034482758,0.9241379310344827
11,0.3235294117647059,145,1.0,1.0,1.0,0.8620689655172413,0.8068965517241379,0.9172413793103448
14,0.4117647058823529,145,1.0,1.0,1.0,0.8482758620689655,0.7862068965517242,0.903448275862069
20,0.5882352941176471,145,1.0,1.0,1.0,0.8137931034482758,0.7448275862068966,0.8758620689655172
26,0.7647058823529411,145,1.0,1.0,1.0,0.8068965517241379,0.7379310344827587,0.8689655172413793
