layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
1,0.029411764705882353,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
2,0.058823529411764705,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
3,0.08823529411764706,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
4,0.11764705882352941,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
5,0.14705882352941177,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
6,0.17647058823529413,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
7,0.20588235294117646,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
8,0.23529411764705882,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
9,0.2647058823529412,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
10,0.29411764705882354,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
11,0.3235294117647059,145,0.0,0.0,0.0,0.00036059945890375307,-8.212521685952836e-05,0.001530152378761672
