layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,145,0.3588939191376599,0.15815946713879925,0.46987777311234313,-9.809843074436262,-26.983125199954383,-0.5131122900802877
1,0.029411764705882353,145,0.3136660159015926,0.15637124744245168,0.4612968788458802,-3.8468786984245815,-8.960450686355724,-0.4806473197009506
2,0.058823529411764705,145,0.364771874815215,0.19073036997243842,0.5164488981470788,-1.3455921372793613,-3.0608952174883512,-0.0690089858272177
3,0.08823529411764706,145,0.3257479831372073,0.15946466923001756,0.45977863471116664,-2.5985447198711578,-6.848496539909888,0.0024176809685000997
4,0.11764705882352941,145,0.41850737637849844,0.24868879544526246,0.5661284571727865,-5.182719209043207,-14.862881048173271,0.09392175352126905
5,0.14705882352941177,145,0.4651041803635765,0.27943189113680744,0.5831869483234959,-2.4784130438699545,-6.927634671693938,0.16224123422528555
6,0.17647058823529413,145,0.4381080066199071,0.27591666739467813,0.5379811525890821,-5.07719194803558,-14.907149617856048,0.20144554641340354
7,0.20588235294117646,145,0.4507741126851189,0.3361934291158839,0.5087763816204818,-6.3035782762232335,-18.694282965841996,0.23011234912525327
8,0.23529411764705882,145,0.40152857232110484,0.3214634635136151,0.51973623769508,-5.796170328999748,-17.354779458263252,0.266252578450588
9,0.2647058823529412,145,0.4092618338973735,0.3158798249946718,0.49645507933563393,-3.5240029536981217,-10.623265799038693,0.3101542248079132
10,0.29411764705882354,145,0.3333916936495148,0.23669334235972228,0.4376952362878629,-2.522754868009279,-7.545875954086484,0.23430638467727913
11,0.3235294117647059,145,0.32923995518597127,0.24309754078382728,0.4601827388508912,-1.2458760600294836,-3.802207685725237,0.26801002239687
14,0.4117647058823529,145,0.2562544005204451,0.17818532095841377,0.39858440857379174,-0.5058065327905942,-1.8080600909095876,0.25749634482521877
20,0.5882352941176471,145,0.14653311650617062,0.09028790151627197,0.23847418088406902,-1.3446770571902893,-4.206389633556744,0.198387550980394
26,0.7647058823529411,145,0.03351537901595125,0.006940358161191984,0.06458271211507505,-1.157946166663121,-3.4278226893906045,0.06579887842853013
