layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,277,0.49238065674549836,0.39922701849743847,0.5276231782432357,0.012257480872361037,-0.43476254060084635,0.2910994133684175
1,0.03571428571428571,277,0.6067018758969369,0.5705443041478654,0.6600171550982955,0.20821201350096263,-0.18798139317588383,0.45163276965528004
2,0.07142857142857142,277,0.6213705141459379,0.5822786564430538,0.6816464290022864,0.23027928603159523,-0.16012804432915909,0.466525333247724
3,0.10714285714285714,277,0.6688965279037489,0.6147674981591096,0.7276541539019377,0.25838268160175326,-0.13449990085441121,0.49928528475583545
4,0.14285714285714285,277,0.6957254691791038,0.6537890776992159,0.740958819189055,0.3022627133655887,-0.0856202802086194,0.5281035171816102
5,0.17857142857142858,277,0.7022597284292496,0.6364349632346573,0.7344687179144955,0.3063420403217834,-0.07883602910670184,0.5268485324276039
6,0.21428571428571427,277,0.7059754617275869,0.6508408785609487,0.7469372950051585,0.3190562522905756,-0.06693751435860516,0.5407294210354062
7,0.25,277,0.7132306072094242,0.6638077622047102,0.7460740876093652,0.3200694768367451,-0.07225618642432295,0.5428392096705182
8,0.2857142857142857,277,0.7197826629052761,0.6676864793145223,0.7466984186155292,0.30622818266069496,-0.08725231993924805,0.530425290695777
9,0.32142857142857145,277,0.7153685561786366,0.6595382111153067,0.7564703029074877,0.3024579592701501,-0.09242635149553334,0.5282659365772596
10,0.35714285714285715,277,0.7259243146940246,0.6800076266020496,0.7573796291608499,0.29437658842028197,-0.10857649941951025,0.5281055424708764
11,0.39285714285714285,277,0.7254741157395668,0.6647261833431457,0.7546320300322573,0.28934032433452883,-0.11301537474197787,0.5261596647939684
