layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
1,0.03571428571428571,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
2,0.07142857142857142,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
3,0.10714285714285714,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
4,0.14285714285714285,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
5,0.17857142857142858,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
6,0.21428571428571427,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
7,0.25,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
8,0.2857142857142857,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
9,0.32142857142857145,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
10,0.35714285714285715,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
11,0.39285714285714285,277,0.0,-2.1137466243992264e-07,9.062313377494746e-08,-1.959539741212969e-05,-8.1211487323277e-05,2.835274444765739e-05
