layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,277,0.49238065674549836,0.39922701849743847,0.5276231782432357,0.011490577553026383,-0.4354776620066068,0.28945627709424315
1,0.03571428571428571,277,0.5681892771204617,0.5082125850882317,0.6392451387204172,0.21916301510820108,-0.18771435703651768,0.450319165088226
2,0.07142857142857142,277,0.5776862581246389,0.5214561711199732,0.6228678044644362,0.2378893452218406,-0.1432490446199616,0.46133609753773996
3,0.10714285714285714,277,0.5882694009265237,0.5440761524189618,0.6479990440127249,0.2792505145824077,-0.08597265040660056,0.49172672042571336
4,0.14285714285714285,277,0.5792512471486941,0.5232963183649076,0.6234190416763692,0.2754354158748377,-0.09427122900418242,0.4830687928983972
5,0.17857142857142858,277,0.5295219137505409,0.4989332119807899,0.5617128238320128,0.2641701666401351,-0.09693483152159714,0.4674054699373031
6,0.21428571428571427,277,0.5130824149737854,0.47429624010066573,0.5595988249445585,0.24285150030267852,-0.12508150769287565,0.4537788972244694
7,0.25,277,0.4901266309809301,0.4531519894204571,0.538060775947261,0.22817114042044473,-0.13984933247676232,0.4384113682644423
8,0.2857142857142857,277,0.46143892996390257,0.4053541460204044,0.49659801380330837,0.21079483263603987,-0.14619695935998586,0.4189925857712317
9,0.32142857142857145,277,0.3606358101792415,0.3015106950076487,0.39001207104131475,0.15348484870130522,-0.21626084911616306,0.3636299521378195
10,0.35714285714285715,277,0.3373286196464793,0.29322407776118753,0.3886967657969894,0.13654504371451706,-0.22799092839686105,0.3480821132078593
11,0.39285714285714285,277,0.29614561961444186,0.24832494718908593,0.3301916732750477,0.09848396417229353,-0.265725940245111,0.30773331144526556
14,0.5,277,0.22571779115167478,0.1882852514028669,0.25931905064943384,0.0575426083620108,-0.2728858546721131,0.2521667967615841
20,0.7142857142857143,277,0.13072997072777282,0.09883952382926764,0.15520943939857756,-0.010023847163022036,-0.3067699328897242,0.16218157158632895
26,0.9285714285714286,277,0.0112906069877039,0.005652505843653399,0.01833011656857597,0.022695435345426652,0.007037766938638355,0.03655519809055805
