layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,292,0.3360597576455676,0.21556733290002839,0.41993057040549375,-0.46752250418877034,-0.7721440769038294,-0.18536183684941232
1,0.03125,292,0.5238007574311327,0.44445798677198634,0.604439357364192,-0.20233122603333425,-0.5064369923414787,0.06753853557948923
2,0.0625,292,0.5287877461113439,0.45018146823982275,0.6164657904373781,-0.19224523111270714,-0.4802644239502347,0.06719077632587338
3,0.09375,292,0.5284648463920358,0.4505685058621052,0.5953357708592195,-0.1534122204443572,-0.450020921559183,0.10067138992592801
4,0.125,292,0.5159248874932416,0.4396454377373139,0.6132349841592253,-0.1477840538328738,-0.4349117171677977,0.09117392624542958
5,0.15625,292,0.5066449126254433,0.41781589473189584,0.5917497902073529,-0.20353488393161676,-0.5371322374239977,0.07889632593898298
6,0.1875,292,0.5366947929585639,0.47647162889799244,0.6214607817293942,-0.2632144230107605,-0.7538216936287085,0.10488228381323868
7,0.21875,292,0.5454519391529804,0.45652451759757695,0.6450387885117483,-0.22175839096162786,-0.608723127694037,0.10134056508622145
8,0.25,292,0.5670885058647088,0.4443254027528065,0.6286167107938456,-0.17334145789411076,-0.5195144069232802,0.11459483177714308
9,0.28125,292,0.547420029517229,0.46587880884600935,0.6231218745752636,-0.23068722764020866,-0.6364431602134424,0.09665537830903596
10,0.3125,292,0.5497574232679957,0.4583770831165165,0.6126344431300379,-0.18932855635511545,-0.5777896609637914,0.11778351427453354
11,0.34375,292,0.554322929458253,0.47744618613119005,0.6192960778358683,-0.145377664200893,-0.48783852965064967,0.1448988269618381
