layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
1,0.03125,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
2,0.0625,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
3,0.09375,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
4,0.125,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
5,0.15625,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
6,0.1875,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
7,0.21875,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
8,0.25,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
9,0.28125,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
10,0.3125,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
11,0.34375,292,0.0,0.0,0.0,0.00013921090795150884,-0.00012031486905802074,0.0004887472040247519
