layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,292,0.3360597576455676,0.21556733290002839,0.41993057040549375,-0.46751289164813686,-0.7721175996169723,-0.18534379193566716
1,0.03125,292,0.5133576790009238,0.44303572839510197,0.5770107254205319,-0.06015606313892414,-0.28449684239353146,0.1514777746419952
2,0.0625,292,0.4947436158637307,0.4004607158398318,0.5652655808475071,0.025194380072584927,-0.14929940534806463,0.20082617250349824
3,0.09375,292,0.44908716647628505,0.35338811650342805,0.5168625596489129,0.026879838963173114,-0.1742656950852989,0.20850289178650197
4,0.125,292,0.4315935900956301,0.34572241524112346,0.5047769420511248,0.027925846435453677,-0.17311820711837606,0.20600991210869699
5,0.15625,292,0.3929333381090692,0.2941274100920255,0.4535820535642237,0.03135706021808601,-0.16702927756661112,0.19863446163288462
6,0.1875,292,0.36091322082146854,0.2703003719646439,0.4258218505227239,0.029902667844612527,-0.15835421165392558,0.20174193737775303
7,0.21875,292,0.37117537570622733,0.29081675059762446,0.40268877428188055,0.020230941364840382,-0.22097696506265976,0.21567626167742157
8,0.25,292,0.3129736007890649,0.2460481650693122,0.40411796829815816,0.07757482011451249,-0.07393428299719379,0.2112366303608244
9,0.28125,292,0.30235019218110737,0.22905959755813127,0.3743038640879848,0.06578157717017724,-0.08073937446297416,0.2003395101070681
10,0.3125,292,0.2907687521667024,0.22329659723662043,0.3591329874607245,0.08970417572406672,-0.040058892530286494,0.20659244137713464
11,0.34375,292,0.22671723576686287,0.17526952193279222,0.266740713589798,0.06724287521869651,-0.0632541303972519,0.1847589201909084
14,0.4375,292,0.14629487629201393,0.08334022960800286,0.17985282709607964,0.00011050481445969589,-0.13385043467367128,0.11646382647264689
20,0.625,292,0.02538464765244347,0.0002924796990365075,0.046859089703895185,-0.028713420201885158,-0.09890246097563223,0.04298006345046728
26,0.8125,292,0.018744751387949732,0.008722823481254804,0.029283916410452526,0.002683993809945148,-0.038437050877529876,0.04663854254514561
