layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,269,0.3670106382365709,0.24979143632599132,0.46559716794356376,-5.381314276983407,-18.18081969546255,-0.30659453464767006
1,0.029411764705882353,269,0.36108090179063923,0.24913631748780762,0.454832728925182,-2.2183065987263,-5.52729376390269,-0.35726598485453775
2,0.058823529411764705,269,0.4697907561971948,0.34239451278157873,0.5764921751789397,-1.3048273220661524,-3.133648353666613,-0.0336751270570797
3,0.08823529411764706,269,0.5090988526829932,0.3903666584670954,0.6239057484766901,-4.00933027353174,-13.583159662111115,-0.006263291162848545
4,0.11764705882352941,269,0.6241819881363504,0.5143890979782701,0.7186810326813997,-1.9000732302615286,-5.336541808198953,0.03987383851923315
5,0.14705882352941177,269,0.6095514578847894,0.5393223124352131,0.705236434902492,-1.1378994717144444,-2.8620362212893813,0.05923631637023083
6,0.17647058823529413,269,0.5765673909740161,0.498830644429761,0.6646686792739207,-3.3734411040531906,-11.069299009430912,0.050968389970425146
7,0.20588235294117646,269,0.6435272378682186,0.5462449475763562,0.7313238934381125,-5.1895308913924385,-18.007127751228044,0.030342732767252637
8,0.23529411764705882,269,0.6354014199978159,0.5686003725625134,0.7173172022862062,-4.599322174584395,-15.59559984811353,0.014617954811624739
9,0.2647058823529412,269,0.6924214905988153,0.5917677676905828,0.7550896907219344,-4.516744795844779,-15.47729090200139,0.041508087184670195
10,0.29411764705882354,269,0.674588467629871,0.5703554697363737,0.7552911010470164,-6.475444144229442,-23.45871171404796,0.08235271363860769
11,0.3235294117647059,269,0.6703390129762721,0.5601585517397514,0.760742503457646,-7.500754242544797,-27.57079594911515,0.0622989029793106
