layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
1,0.029411764705882353,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
2,0.058823529411764705,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
3,0.08823529411764706,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
4,0.11764705882352941,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
5,0.14705882352941177,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
6,0.17647058823529413,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
7,0.20588235294117646,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
8,0.23529411764705882,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
9,0.2647058823529412,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
10,0.29411764705882354,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
11,0.3235294117647059,269,0.0,0.0,0.0,0.00019407337320527266,-4.43702270822841e-05,0.0006368633909723522
