layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,269,0.3670106382365709,0.24979143632599132,0.46559716794356376,-5.3781806221146775,-18.174552385725097,-0.2971935700414856
1,0.029411764705882353,269,0.3414234199699835,0.2094846278489053,0.4505015974208413,-2.107616837584748,-5.347524947026417,-0.27241071069829026
2,0.058823529411764705,269,0.43165868932503226,0.35427622951520266,0.5508728022863518,-0.6464434731956205,-1.5899722108564722,0.07600429722469884
3,0.08823529411764706,269,0.43273286687997237,0.33135068351030716,0.5350930896005421,-1.3390775194142142,-4.097225318068386,0.0956421591882296
4,0.11764705882352941,269,0.5074306723114631,0.3402602670451823,0.5778660904257611,-2.729273423621705,-9.877162664861523,0.1473373602593407
5,0.14705882352941177,269,0.521121404415893,0.4223226059401459,0.6011081638636615,-1.240418952546474,-4.2240291781349475,0.21728472914760613
6,0.17647058823529413,269,0.4439546015955821,0.35833281341787027,0.5151024977047294,-2.6602641763547483,-10.02965129712597,0.20917798015597364
7,0.20588235294117646,269,0.45304374620850596,0.3663977749697852,0.5175508874719372,-3.3307147563530073,-12.846260243419216,0.20875096274197796
8,0.23529411764705882,269,0.4200895820399042,0.35102814342986,0.5388260889470233,-3.0501735309241207,-11.852096643572086,0.2425845797660989
9,0.2647058823529412,269,0.4225322664543598,0.36636483133964004,0.49645507933563393,-1.8260868181222394,-7.078670626416392,0.2611055436397528
10,0.29411764705882354,269,0.33787884503149546,0.27121433499706504,0.4194806129055464,-1.2875008089443372,-4.9402534091515955,0.21680192581003105
11,0.3235294117647059,269,0.32893397221641796,0.24450443630861352,0.4349810337743295,-0.6013602761658519,-2.2622842696130316,0.23206225976372738
14,0.4117647058823529,269,0.2938721048577022,0.23945366789451694,0.3699033146380667,-0.21045339201199717,-1.1055125805679202,0.2188084885970017
20,0.5882352941176471,269,0.10235591769776664,0.047778306332937115,0.16856559475842448,-0.6911944557320198,-2.7918758212162293,0.15285828503907384
26,0.7647058823529411,269,0.03351537901595125,0.01223156307711093,0.07244012594936544,-0.5965568679011918,-2.281085089315096,0.06759453637773269
