layer,rel_depth,n,mean,ci_lo,ci_hi
0,0.0,12,0.1661825574632762,-0.31700666813887823,0.6071633899774885
1,0.029411764705882353,12,0.07501603385341775,-0.5715947545818854,0.6244880422391085
2,0.058823529411764705,12,-0.1528487481723441,-0.9535220281158089,0.5446724907767878
3,0.08823529411764706,12,0.020670467548679572,-0.619247109485356,0.5663893924576644
4,0.11764705882352941,12,-0.23695771463888174,-1.0744741047716089,0.4764662343137456
5,0.14705882352941177,12,-0.17805430270569755,-0.9825271397999505,0.5082808096156067
6,0.17647058823529413,12,-0.22469614905622773,-1.133389131068156,0.5243619858189109
7,0.20588235294117646,12,-0.5441006207385045,-1.511590918438654,0.3687156306763153
8,0.23529411764705882,12,-0.3640453383490491,-1.2234563332738742,0.42688170891310806
9,0.2647058823529412,12,-0.38457468093849306,-1.2604122182230675,0.3998521931334178
10,0.29411764705882354,12,-0.41424183597069636,-1.3041281538494307,0.37407856790751387
11,0.3235294117647059,12,-0.3802206868762217,-1.2067314880064648,0.3889349089195085
