layer,rel_depth,n,mean,ci_lo,ci_hi
0,0.0,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
1,0.029411764705882353,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
2,0.058823529411764705,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
3,0.08823529411764706,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
4,0.11764705882352941,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
5,0.14705882352941177,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
6,0.17647058823529413,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
7,0.20588235294117646,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
8,0.23529411764705882,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
9,0.2647058823529412,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
10,0.29411764705882354,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
11,0.3235294117647059,12,1.6033330740202374e-06,-5.328665094968728e-06,1.0306728362293368e-05
