layer,rel_depth,n,mean,ci_lo,ci_hi
0,0.0,12,0.1661825574632762,-0.31700666813887823,0.6071633899774885
1,0.029411764705882353,12,0.042856475043360154,-0.6176172609917413,0.5911416654508579
2,0.058823529411764705,12,0.11930098853409958,-0.41177531809432394,0.571419199246821
3,0.08823529411764706,12,0.1429028881614667,-0.3180305396642578,0.5405040170861195
4,0.11764705882352941,12,0.08720033211560334,-0.32755528935470185,0.4454090901068492
5,0.14705882352941177,12,-0.04970529543635066,-0.5560846159609493,0.38033801211092627
6,0.17647058823529413,12,0.14824461348560633,-0.30311523983434263,0.4983111943397687
7,0.20588235294117646,12,0.07643239648380934,-0.34852506949982365,0.4433251699249004
8,0.23529411764705882,12,0.11061865701744862,-0.35998629887439354,0.4893176791273597
9,0.2647058823529412,12,0.16309411492556702,-0.34225339700386703,0.5176506268651111
10,0.29411764705882354,12,-0.016503616230078056,-0.49757474483781267,0.3397298973361715
11,0.3235294117647059,12,0.08711258892633462,-0.3286782452082883,0.40311818065854593
14,0.4117647058823529,12,-0.018276984896815035,-0.45242782496990225,0.3087352206534664
20,0.5882352941176471,12,-0.10492315885787391,-0.6397638285665035,0.2693091675021884
26,0.7647058823529411,12,-0.06503257597403163,-0.6161113157851272,0.27656187772874447
