layer,rel_depth,n,mean,ci_lo,ci_hi
0,0.0,12,0.07589139105970097,-0.11251146053510323,0.26232654509252956
1,0.029411764705882353,12,0.10288007434957558,-0.09820448599587976,0.2869012817171602
2,0.058823529411764705,12,0.13809057395988894,-0.0003775907714809919,0.27633046875641826
3,0.08823529411764706,12,0.015030065169205797,-0.21679798796439964,0.23690396522804721
4,0.11764705882352941,12,-0.041320886025389726,-0.3155114751238108,0.22963857184899195
5,0.14705882352941177,12,0.02442133134658391,-0.1482253545009429,0.18808139254502151
6,0.17647058823529413,12,0.020734075670713965,-0.1405720685127274,0.1946753518279336
7,0.20588235294117646,12,0.0030245563258526897,-0.1775824238876389,0.16879064625509055
8,0.23529411764705882,12,-0.057751621451861655,-0.1886919284700227,0.06866834820810847
9,0.2647058823529412,12,-0.081717388537441,-0.37736528910280637,0.1576404308120681
10,0.29411764705882354,12,-0.041825272547044844,-0.18463242955606005,0.09926809218541373
11,0.3235294117647059,12,-0.01476896776335021,-0.15586088921122576,0.09888036829555856
14,0.4117647058823529,12,-0.021694863318105384,-0.13027932468048362,0.08256303561285189
20,0.5882352941176471,12,0.09298933639197489,0.002105832060506352,0.19959549432758092
26,0.7647058823529411,12,-0.0019523233742722763,-0.07796678230587352,0.08262586502490067
