setting,model,benchmark,embedding_enabled,n_targets,n_matched,smd_char_len,smd_zipf,smd_split_increment,smd_centrality,class_match_rate,unmatched_rate,relax_exact,relax_no_centrality,relax_caliper,relax_class_len,relax_any,applied_from_matched_rate,gen_n,acc_matched_rnd,n_samples_kne4,n_common,acc_clean,acc_lxt4,drop_matched,drop_lxt4,delta_drop,flags
gemma-3-4b-it_gsm8k_k4_matched_rnd,gemma-3-4b-it,gsm8k,True,5276,5276,-0.0152,-0.2545,0.0318,-0.0159,0.9998,0.0,0.4227,0.185,0.2671,0.1251,0.0002,0.9257,1319,0.8089,0,1319,0.8347,0.7824,0.0258,0.0523,0.0265,smd_zipf=-0.255 (|SMD|>=0.25)
gemma-3-4b-it_mmlu_k4_matched_rnd,gemma-3-4b-it,mmlu,True,11398,11390,0.0698,-0.1609,0.0435,0.2702,0.9955,0.000702,0.3204,0.1541,0.3388,0.1814,0.0045,0.949,2850,0.6098,15,2850,0.6323,0.586,0.0225,0.0463,0.0238,smd_centrality=+0.270 (|SMD|>=0.25); unmatched_rate=0.0007 (>0); 15 samples with perturbed_tokens != 4
Llama-3.2-1B-Instruct_gsm8k_k4_matched_rnd,Llama-3.2-1B-Instruct,gsm8k,True,5276,5276,-0.0115,-0.1746,0.025,-0.0789,0.9998,0.0,0.4067,0.1586,0.3317,0.1027,0.0002,0.9907,1319,0.3366,0,1319,0.3609,0.3351,0.0243,0.0258,0.0015,
Llama-3.2-1B-Instruct_mmlu_k4_matched_rnd,Llama-3.2-1B-Instruct,mmlu,True,11400,11397,0.0473,-0.1904,0.0309,0.2128,0.9971,0.000263,0.3217,0.1667,0.3382,0.1703,0.0029,0.9612,2850,0.4288,7,2850,0.4505,0.386,0.0217,0.0645,0.0428,unmatched_rate=0.0003 (>0); 7 samples with perturbed_tokens != 4
Llama-3.2-1B-Instruct_mmlu_pro_k4_matched_rnd,Llama-3.2-1B-Instruct,mmlu_pro,True,5600,5600,0.0388,-0.1433,0.0441,0.1532,0.9975,0.0,0.4259,0.1554,0.2879,0.1284,0.0025,0.9464,1400,0.1964,2,1400,0.19,0.1779,-0.0064,0.0121,0.0185,2 samples with perturbed_tokens != 4
Llama-3.2-1B-Instruct_arc_k4_matched_rnd,Llama-3.2-1B-Instruct,arc,True,4688,4688,0.0295,-0.2766,0.0382,0.2605,0.9983,0.0,0.282,0.1843,0.3865,0.1455,0.0017,0.9908,1172,0.4846,0,1172,0.5273,0.4462,0.0427,0.0811,0.0384,smd_zipf=-0.277 (|SMD|>=0.25); smd_centrality=+0.260 (|SMD|>=0.25)
Llama-3.2-1B-Instruct_commonsense_qa_k4_matched_rnd,Llama-3.2-1B-Instruct,commonsense_qa,True,4884,4884,0.0709,-0.3131,0.0929,0.2038,0.9992,0.0,0.1552,0.1804,0.4709,0.1927,0.0008,0.982,1221,0.5119,0,1221,0.5831,0.4889,0.0712,0.0942,0.023,smd_zipf=-0.313 (|SMD|>=0.25)
Llama-3.2-3B-Instruct_gsm8k_k4_matched_rnd,Llama-3.2-3B-Instruct,gsm8k,True,5276,5276,0.0047,-0.1608,0.0348,-0.0685,0.9998,0.0,0.409,0.1816,0.3222,0.087,0.0002,0.9882,1319,0.6535,0,1319,0.7051,0.6399,0.0516,0.0652,0.0136,
Llama-3.2-3B-Instruct_mmlu_k4_matched_rnd,Llama-3.2-3B-Instruct,mmlu,True,11400,11397,0.0425,-0.2091,0.0394,0.2057,0.997,0.000263,0.3299,0.1599,0.3329,0.174,0.003,0.9526,2850,0.5898,8,2850,0.6267,0.5642,0.0369,0.0625,0.0256,unmatched_rate=0.0003 (>0); 8 samples with perturbed_tokens != 4
Llama-3.2-3B-Instruct_mmlu_pro_k4_matched_rnd,Llama-3.2-3B-Instruct,mmlu_pro,True,5600,5600,0.0386,-0.1538,0.0417,0.1566,0.9961,0.0,0.415,0.165,0.2843,0.1318,0.0039,0.9451,1400,0.3607,2,1400,0.3679,0.3207,0.0072,0.0472,0.04,2 samples with perturbed_tokens != 4
